"company","company_logo_url","company_url","contract_types","full_description","industry","location","posted_date","salary","title","url"
"OUTSOURCIA","https://www.keejob.com/media/recruiter/recruiter_225/logo-225-20231117-091743.jpg.300x300_q85_crop-smart.jpg","https://www.keejob.com/offres-emploi/companies/225/","","Tunis, Ariana, Tunisie Locale, Internationale Charge de donnees ERP /(junior intelligent) Entreprise Anonyme•Mahdia Developpeur (React / Node.js) Technicien Support Materiels ROSE BLANCHE GROUP•Sousse Charge de donnees ERP /(junior intelligent) Entreprise Anonyme•Mahdia Secteur:call center / televente Taille:Plus de 500 employes Le groupe Outsourcia est un operateur specialise dans les metiers de l'outsourcing: gestion de la relation client a distance, multiservice, multilingue et multicanal (centres d'appels, gestion des e-mails, solutions de chats, telemarketing et relation client sur les reseaux sociaux), externalisation de metiers de Back Office (BPO), prestations digitales (developpement d'applications specifiques, web ou mobiles, communication digitale et Community Management) et etudes. A ce jour, Outsourcia, emploie 3600 collaborateurs sur 12 sites de production en France, au Maroc, a Madagascar et en Tunisie et accompagne des clients de renom tels que : Aquarelle, Renault, Total, Orange, Histoire d'Or, Manutan, Marionnaud, Mister Auto, Seloger.com, Veepee, etc. Le groupe Outsourcia accompagne au quotidien ses collaborateurs en se basant sur des valeurs motrices telles que la solidarite, l’engagement et l’integrite… Si vous aussi, vous partagez ces valeurs, n’attendez-plus et venez relever de nouveaux defis avec Outsourcia Tunisie ! Description de l'annonce Le groupe Outsourcia est un operateur specialise dans les metiers de l'outsourcing: gestion de la relation client a distance, multiservice, multilingue et multicanal (centres d'appels, gestion des e-mails, solutions de chats, telemarketing et relation client sur les reseaux sociaux), externalisation de metiers de Back Office (BPO), prestations digitales (developpement d'applications specifiques, web ou mobiles, communication digitale et Community Management) et etudes. A ce jour, Outsourcia, emploie 3600 collaborateurs sur 12 sites de production en France, au Maroc, a Madagascar et en Tunisie et accompagne des clients de renom tels que : Aquarelle, Renault, Total, Orange, Histoire d'Or, Manutan, Marionnaud, Mister Auto, Seloger.com, Veepee, etc. Le groupe Outsourcia accompagne au quotidien ses collaborateurs en se basant sur des valeurs motrices telles que la solidarite, l’engagement et l’integrite… Si vous aussi, vous partagez ces valeurs, n’attendez-plus et venez relever de nouveaux defis avec Outsourcia Tunisie ! Dans le cadre du developpement de ses activites, Outsourcia recrute un Responsable Securite des Systemes d’Information. Definir et mettre en œuvre la politique de securite des systemes d’information (PSSI)Identifier, analyser et gerer les risques lies a la securite informatiqueAssurer la conformite des systemes avec les normes et reglementations en vigueurMettre en place les dispositifs de prevention, de protection et de controleSuperviser les audits de securite et les plans de remediationSensibiliser les equipes aux bonnes pratiques de cybersecuriteGerer les incidents de securite et assurer leur resolution Definir et mettre en œuvre la politique de securite des systemes d’information (PSSI) Identifier, analyser et gerer les risques lies a la securite informatique Assurer la conformite des systemes avec les normes et reglementations en vigueur Mettre en place les dispositifs de prevention, de protection et de controle Superviser les audits de securite et les plans de remediation Sensibiliser les equipes aux bonnes pratiques de cybersecurite Gerer les incidents de securite et assurer leur resolution Formation superieure en informatique, cybersecurite ou systemes d’informationExperience confirmee dans un poste similaireBonne maitrise des normes de securite (ISO 27001, etc.)Rigueur, sens de l’analyse et esprit de leadershipCapacite a travailler en transverse avec les equipes IT et metiers Formation superieure en informatique, cybersecurite ou systemes d’information Experience confirmee dans un poste similaire Bonne maitrise des normes de securite (ISO 27001, etc.) Rigueur, sens de l’analyse et esprit de leadership Capacite a travailler en transverse avec les equipes IT et metiers","","Tunis, Ariana","18 avril 2026","","Responsable Securite SI","https://www.keejob.com/offres-emploi/238820/responsable-s%C3%A9curit%C3%A9-si/"
"BEN YAGHLANE SHOPS","https://www.keejob.com/media/recruiter/recruiter_25006/logo-25006-20250603-152514.png.300x300_q85_crop-smart.png","https://www.keejob.com/offres-emploi/companies/25006/","","Oued Ellil, La Manouba, Tunisie Technicien Support Materiels ROSE BLANCHE GROUP•Sousse Technicien Informatique Technicien en informatique Entreprise Anonyme•Tunis Technicien Support M365/Intune (H/F) ADVANCIA TELESERVICES•Tunis Technicien Informatique Secteur:commerce / vente / distribution Taille:Entre 200 et 500 employes Description de l'annonce La SocieteLa Centrale Commerciale""Biwai Shops""cherche a recruter Un (e) Charge (e) Referentiel Rattache(e) au Responsable Referentiel, vous interviendrez sur les missions suivantes : Creer et referencer les nouveaux articles, produits et fournisseurs dans le systemeCreer et mettre a jour les fiches articles (codes, designations, familles, gammes)Gerer les caracteristiques produits :DLC, poids, designation, code article, prix, unite de mesure, code-barres, etc pour garantir la fiabilite et la coherence des donnees.Controler la validite, la conformite et la coherence des informations saisies avec les standards internes et les documents sources bons de commande, fiches techniques, etcMise a jour des prix et des margesen collaboration avec le service concerneTraiter les reclamations liees aux articles non crees, codes-barres non reconnus ou prix de vente incorrectsCollaborer avec les differents departementsExigences de l'emploi :De formation Bac +2 /Bac +3 en informatique de gestionMaitrisedes outils informatiques (ERP + Excel)Capable de comprendre les processus metiersRigoureux et OrganiseReactifSens de la communication et collaboration Creer et referencer les nouveaux articles, produits et fournisseurs dans le systemeCreer et mettre a jour les fiches articles (codes, designations, familles, gammes)Gerer les caracteristiques produits :DLC, poids, designation, code article, prix, unite de mesure, code-barres, etc pour garantir la fiabilite et la coherence des donnees.Controler la validite, la conformite et la coherence des informations saisies avec les standards internes et les documents sources bons de commande, fiches techniques, etcMise a jour des prix et des margesen collaboration avec le service concerneTraiter les reclamations liees aux articles non crees, codes-barres non reconnus ou prix de vente incorrectsCollaborer avec les differents departements De formation Bac +2 /Bac +3 en informatique de gestionMaitrisedes outils informatiques (ERP + Excel)Capable de comprendre les processus metiersRigoureux et OrganiseReactifSens de la communication et collaboration De formation Bac +2 /Bac +3 en informatique de gestionMaitrisedes outils informatiques (ERP + Excel)Capable de comprendre les processus metiersRigoureux et OrganiseReactifSens de la communication et collaboration","","Oued Ellil, La Manouba","18 avril 2026","","Charge (e) Referentiel","https://www.keejob.com/offres-emploi/238819/charg%C3%A9-e-r%C3%A9f%C3%A9rentiel/"
"","","","CDI","Ariana Ville, Ariana, Tunisie Agent de traitement des donnees en Italien PARTNER RECRUITMENT•Tunis Conseiller Commercial secretariat medical teletravail Televendeur en Mutuelle Sante - Sousse ECG ASSURANCES•Sousse Teleconseillers (Appels, Chat & Email) Secteur:informatique / telecoms Taille:Moins de 20 employes Description de l'annonce Suivre le traitement des demandes d’utilisateurs via un logiciel de suivi des tickets ODOO .Effectuer la maintenance des logiciels et materiels informatiques des clients .Diagnostiquer et resoudre les incidents techniques (poste de travail, reseau, logiciels, imprimantes…).Utilisation et assistance Microsoft Office 365 .Connaissances des produits Cloud.Maitrise de l’anglais technique est un atout.Permis de conduireayant aumoinsdeux (05) ans d'anciennete. Suivre le traitement des demandes d’utilisateurs via un logiciel de suivi des tickets ODOO .Effectuer la maintenance des logiciels et materiels informatiques des clients .Diagnostiquer et resoudre les incidents techniques (poste de travail, reseau, logiciels, imprimantes…).Utilisation et assistance Microsoft Office 365 .Connaissances des produits Cloud.Maitrise de l’anglais technique est un atout. Permis de conduireayant aumoinsdeux (05) ans d'anciennete.","","Ariana Ville, Ariana","3 avril 2026","800 - 1200 TND","Support IT","https://www.keejob.com/offres-emploi/238814/support-it/"
"METAM","https://www.keejob.com/media/recruiter/recruiter_8363/logo-8363-20220427-114943.jpg.300x300_q85_crop-smart.jpg","https://www.keejob.com/offres-emploi/companies/8363/","","Menzel Jemil, Bizerte, Tunisie Charge de donnees ERP /(junior intelligent) Entreprise Anonyme•Mahdia Developpeur (React / Node.js) Copywriter & Content Creator Developpeur Mobile (IOS) Secteur:informatique / telecoms Taille:Moins de 20 employes Description de l'annonce Metam Tunisie est une entreprise offrant des services de developpement de logiciel, des solutions WEB, ainsi que des services conseil pour les implementations des ERP. Une organisation dynamique resolument ouverte sur le monde avec des bureaux au Canada et en Tunisie. Les projets s'enchainent et les succes se multiplient. Nous sommes fiers de pouvoir attribuer ces belles reussites a une equipe unie ainsi qu'a la confiance de nos clients et partenaires d'affaires.Dans le but de soutenir une expansion des plus energiques, nous sommes a la recherche d’un Developpeur full stack . La personne retenue aura a travailler en etroite collaboration avec nos equipes et partenaires. Roles et Responsabilites : Developper les cahiers de charges;Emettre des recommandations quant a l’utilisation de nouvelles technologies emergenteDevelopper des outils Web novateurs et reutilisables pour des sites destines a des entreprises;Developper des plateformes Web utilisant la technique de marketing direct;Soutenir des initiatives activistes progressistes en ligne;Concevoir et programmer des sites Web, incluant la mise en forme; Toute autre tache connexe. Formation, competences et qualification souhaitees Detenir un diplome d’etudes universitaires en informatique ou toute autre combinaison de scolarite et d’experience jugee pertinente et equivalente pourra etre consideree;Detenir une connaissance des langages HTML, CSS, PHP et MySQL;Detenir une connaissance des bases de donnees relationnelles telles que MySQL, MSSQL ou Oracle ainsi qu’une bonne connaissance du langage SQL;Connaissance en Java, .NET, Ajax, Ruby on Rails;Connaissance dans la conception et la mise en œuvre de projets utilisant des logiciels open source;Connaissance de conception avec les outils d'edition Web extensible;Connaissance des standards et protocoles Web internationaux ainsi que les pratiques Web 2.0;Facilite a apprendre de nouvelles techniques rapidement;Facilite a apprendre de nouvelles techniques et methodologies de travail;Souci du travail bien fait et respect des echeanciers;Excellente maitrise de la langue Francaise a l'oral et a l'ecrit; Une grande autonomie et une bonne aptitude pour le travail d’equipe. Si vous avez le gout d’une experience professionnelle dans une entreprise au caractere unique, parmi les plus dynamiques en Tunisie et de relever des defis a la hauteur de vos talents, faites- nous parvenir votre curriculum vitae accompagne de vos diplomes. Poste base a Bizerte et Safx","","Menzel Jemil, Bizerte","17 avril 2026","","Developpeur full stack","https://www.keejob.com/offres-emploi/238806/d%C3%A9veloppeur-full-stack/"
"CPL JOBS","https://www.keejob.com/media/recruiter/recruiter_14383/logo-14383-20171204-170100.jpg.300x300_q85_crop-smart.jpg","https://www.keejob.com/offres-emploi/companies/14383/","","El Kram, Tunis, Tunisie Formations professionnelles Agent de traitement des donnees en Italien PARTNER RECRUITMENT•Tunis Conseiller Commercial secretariat medical teletravail Televendeur en Mutuelle Sante - Sousse ECG ASSURANCES•Sousse Teleconseillers (Appels, Chat & Email) Secteur:recrutement / ressources humaines Taille:Entre 20 et 100 employes Description de l'annonce Cpl jobs stellt fur seinen Partner HELPDESK-Techniker in deutscher Sprache ein. Sie sind dynamisch und motiviert, so dass Ihr Profil fur uns von großem Interesse ist.Deine Vorteile:Wir sorgen fur kostenlosen Transport zur Arbeit.AttraktivesGehalt.Essensmarke.Gruppenversicherung.FreundlicheAtmosphare.Wochenenden freiDas wunschen wir uns:Sehr gute Deutsch-Kenntnisse in Wort und Schrift, sowie gute PC-Kenntnisse sind fur dich selbstverstandlich.Du begeisterst dich fur telefonische Kommunikation, hast starke kommunikative Fahigkeiten in Wort und Schrift und Lust auf direkten Kundenkontakt Sie sind dynamisch und motiviert, so dass Ihr Profil fur uns von großem Interesse ist. Wir sorgen fur kostenlosen Transport zur Arbeit. FreundlicheAtmosphare. Das wunschen wir uns:Sehr gute Deutsch-Kenntnisse in Wort und Schrift, sowie gute PC-Kenntnisse sind fur dich selbstverstandlich.Du begeisterst dich fur telefonische Kommunikation, hast starke kommunikative Fahigkeiten in Wort und Schrift und Lust auf direkten Kundenkontakt Das wunschen wir uns: Sehr gute Deutsch-Kenntnisse in Wort und Schrift, sowie gute PC-Kenntnisse sind fur dich selbstverstandlich. Du begeisterst dich fur telefonische Kommunikation, hast starke kommunikative Fahigkeiten in Wort und Schrift und Lust auf direkten Kundenkontakt","","El Kram, Tunis","17 avril 2026","","HELPDESK techniker in deutscher Sprache","https://www.keejob.com/offres-emploi/238799/helpdesk-techniker-in-deutscher-sprache/"
"INNO THINK LABS","","https://www.keejob.com/offres-emploi/companies/34878/","CDI","Sousse Ville, Sousse, Tunisie Charge de donnees ERP /(junior intelligent) Entreprise Anonyme•Mahdia Developpeur (React / Node.js) Developpeur Full-Stack Team Lead – Power Platform Developpeur(se) Blazor /C#/ NET – ERP Secteur:communication / publicite / media Taille:Moins de 20 employes Description de l'annonce Missions principales : Concevoir, developper et deployer des solutions basees sur l’intelligence artificielleDevelopper des modeles de Machine Learning et Deep Learning adaptes aux besoins metiersParticiper a l’architecture technique des projets (scalabilite, performance, securite)Integrer des APIs IA (NLP, Computer Vision, etc.) dans des applications web ou mobilesEncadrer et accompagner les developpeurs juniorsAssurer une veille technologique continue en IA et innovation digitaleCollaborer avec les equipes produit, UX/UI et marketing Concevoir, developper et deployer des solutions basees sur l’intelligence artificielle Developper des modeles de Machine Learning et Deep Learning adaptes aux besoins metiers Participer a l’architecture technique des projets (scalabilite, performance, securite) Integrer des APIs IA (NLP, Computer Vision, etc.) dans des applications web ou mobiles Encadrer et accompagner les developpeurs juniors Assurer une veille technologique continue en IA et innovation digitale Collaborer avec les equipes produit, UX/UI et marketing Bac+5 en informatique, ingenierie ou equivalentMinimum 5 ans d’experience en developpement logicielExpertise confirmee en Intelligence Artificielle et Data ScienceExcellente maitrise de Python (TensorFlow, PyTorch, Scikit-learn…)Bonne connaissance des architectures backend (Node.js, Django, Flask…)Experience en traitement de donnees, NLP ou Computer VisionMaitrise des bases de donnees (SQL / NoSQL)Connaissance du cloud (AWS, Azure ou GCP) est un plusEsprit analytique, autonomie et capacite a resoudre des problemes complexes Bac+5 en informatique, ingenierie ou equivalent Minimum 5 ans d’experience en developpement logiciel Expertise confirmee en Intelligence Artificielle et Data Science Excellente maitrise de Python (TensorFlow, PyTorch, Scikit-learn…) Bonne connaissance des architectures backend (Node.js, Django, Flask…) Experience en traitement de donnees, NLP ou Computer Vision Maitrise des bases de donnees (SQL / NoSQL) Connaissance du cloud (AWS, Azure ou GCP) est un plus Esprit analytique, autonomie et capacite a resoudre des problemes complexes Machine Learning / Deep LearningData EngineeringAPI AI & integrationArchitecture logicielleDevOps (Docker, CI/CD)Travail en equipe agile Machine Learning / Deep Learning Architecture logicielle DevOps (Docker, CI/CD) Travail en equipe agile Un environnement de travail innovant et stimulantParticipation a des projets a forte valeur technologiqueRemuneration attractive selon profilPossibilites d’evolution rapideFormation continue et acces aux dernieres technologies Un environnement de travail innovant et stimulant Participation a des projets a forte valeur technologique Remuneration attractive selon profil Possibilites d’evolution rapide Formation continue et acces aux dernieres technologies Lieu :SousseType de contrat :CDI","communication / publicite / media","Sousse Ville, Sousse","2 avril 2026","800 - 1000 TND","Developpeur expert en IA","https://www.keejob.com/offres-emploi/238784/d%C3%A9veloppeur-senior-expert-en-ia/"
"","","","","Ben Arous, Ben Arous, Tunisie Technicien Support Materiels ROSE BLANCHE GROUP•Sousse Technicien Informatique Technicien en informatique Entreprise Anonyme•Tunis Technicien Support M365/Intune (H/F) ADVANCIA TELESERVICES•Tunis Technicien Informatique Secteur:commerce / vente / distribution Taille:Entre 100 et 200 employes Description de l'annonce Notre societe fondee depuis 1984, nous sommes leader dans le marche de fabrication et commercialisons des produits d’entretien de qualite pour le nettoyage et la desinfection dans differents domaines en collectivite et agroalimentaires, Notre groupe commercialise ces produits au marche local et a l’international situe a la zone industrielle Mghira Ben Arous.Nous sommes a la recherche d'un technicien reseau informatique qui sera amene de faire :Brancher et installer le materiel, les peripheriques et les dispositifsInstaller et mettre a jour les logiciels et programmes informatiquesInformer les utilisateurs quant aux nouveaux programmes et dispositifs installesSurveiller le bon fonctionnement des systemes informatiquesIntervenir en cas de dysfonctionnement materiel et logicielFournir une assistance technique rapide (par telephone, a distance ou sur place)Diagnostiquer les interventions necessaires pour optimiser l'infrastructure informatiquePlanifier un calendrier des interventions d'entretienAssurer la securite des donnees informatiquesDiagnostiquer les defaillances et proposer des solutions d'ameliorationGerer les stocks de consommables techniques et pieces detachees.Assure la maintenance materielle et logicielle du parc des PC, et des ressources de mises en reseauPasser les commandes de materiels, controler les stocks,Detecter l’origine de la panne, remplacer les elements defectueux (disque dur, carte graphique…), Notre societe fondee depuis 1984, nous sommes leader dans le marche de fabrication et commercialisons des produits d’entretien de qualite pour le nettoyage et la desinfection dans differents domaines en collectivite et agroalimentaires, Notre groupe commercialise ces produits au marche local et a l’international situe a la zone industrielle Mghira Ben Arous. Nous sommes a la recherche d'un technicien reseau informatique qui sera amene de faire : Brancher et installer le materiel, les peripheriques et les dispositifsInstaller et mettre a jour les logiciels et programmes informatiquesInformer les utilisateurs quant aux nouveaux programmes et dispositifs installesSurveiller le bon fonctionnement des systemes informatiquesIntervenir en cas de dysfonctionnement materiel et logicielFournir une assistance technique rapide (par telephone, a distance ou sur place)Diagnostiquer les interventions necessaires pour optimiser l'infrastructure informatiquePlanifier un calendrier des interventions d'entretienAssurer la securite des donnees informatiquesDiagnostiquer les defaillances et proposer des solutions d'ameliorationGerer les stocks de consommables techniques et pieces detachees.Assure la maintenance materielle et logicielle du parc des PC, et des ressources de mises en reseauPasser les commandes de materiels, controler les stocks,Detecter l’origine de la panne, remplacer les elements defectueux (disque dur, carte graphique…),","","Ben Arous, Ben Arous","17 avril 2026","","Technicien informatique","https://www.keejob.com/offres-emploi/238766/technicien-informatique/"
"CPL JOBS","https://www.keejob.com/media/recruiter/recruiter_14383/logo-14383-20171204-170100.jpg.300x300_q85_crop-smart.jpg","https://www.keejob.com/offres-emploi/companies/14383/","","Raoued, Ariana, Tunisie Agent de traitement des donnees en Italien PARTNER RECRUITMENT•Tunis Conseiller Commercial secretariat medical teletravail Televendeur en Mutuelle Sante - Sousse ECG ASSURANCES•Sousse Teleconseillers (Appels, Chat & Email) Secteur:recrutement / ressources humaines Taille:Entre 20 et 100 employes Description de l'annonce Recrutement urgent – Helpdesk IT Italophone | Lancez votre carriere en support technique !Dans le cadre du renforcement de notre equipe, nous recrutons descharges de support helpdesk IT maitrisant la langue italiennepour intervenir aupres de nos clients dans un environnement dynamique et international.Profil recherche :Diplome en langue italienne ou equivalentExcellente maitrise de l’italien (ecrit et oral)Bonnes connaissances en informatique (systemes, bureautique, reseaux de base…)Sens du service et bonne communicationCapacite a diagnostiquer et resoudre des problemes techniquesUne premiere experience en centre d’appel ou support IT est un plusMissions :Assurer le support technique de niveau 1 (Helpdesk) en langue italienneRepondre aux demandes des utilisateurs (appels, emails, tickets)Diagnostiquer et resoudre les incidents informatiques courantsEscalader les incidents complexes vers les niveaux superieursSuivre et documenter les interventions dans l’outil de ticketingCe que nous offrons :Formation initiale aux outils et proceduresEnvironnement professionnel stimulantOpportunites d’evolution vers des postes IT avancesTravail en equipe dans un contexte international👉 Rejoignez-nous et developpez votre expertise IT tout en valorisant votre maitrise de l’italien ! Recrutement urgent – Helpdesk IT Italophone | Lancez votre carriere en support technique ! Dans le cadre du renforcement de notre equipe, nous recrutons descharges de support helpdesk IT maitrisant la langue italiennepour intervenir aupres de nos clients dans un environnement dynamique et international. Diplome en langue italienne ou equivalentExcellente maitrise de l’italien (ecrit et oral)Bonnes connaissances en informatique (systemes, bureautique, reseaux de base…)Sens du service et bonne communicationCapacite a diagnostiquer et resoudre des problemes techniquesUne premiere experience en centre d’appel ou support IT est un plus Assurer le support technique de niveau 1 (Helpdesk) en langue italienneRepondre aux demandes des utilisateurs (appels, emails, tickets)Diagnostiquer et resoudre les incidents informatiques courantsEscalader les incidents complexes vers les niveaux superieursSuivre et documenter les interventions dans l’outil de ticketing Ce que nous offrons : Formation initiale aux outils et proceduresEnvironnement professionnel stimulantOpportunites d’evolution vers des postes IT avancesTravail en equipe dans un contexte international 👉 Rejoignez-nous et developpez votre expertise IT tout en valorisant votre maitrise de l’italien !","","Raoued, Ariana","17 avril 2026","","support technique ! en italien","https://www.keejob.com/offres-emploi/238756/support-technique-en-italien/"
"","","","","Raoued, Ariana, Tunisie Formations professionnelles Technicien Support Materiels ROSE BLANCHE GROUP•Sousse Technicien Informatique Technicien Informatique HELPDESK techniker in deutscher Sprache Technicien informatique Entreprise Anonyme•Ben Arous Secteur:recrutement / ressources humaines Taille:Entre 20 et 100 employes Description de l'annonce Vous etes a la recherche d'un emploi stable, motivant avec des perspectives d'evolution au sein d'une entreprise leader dans son domaine? Votre profil nous interesse. Dans le cadre de son developpement continu, CPL Jobs recrute desTele-Conseiller // Tele-Operateur maitrisant la langue Italienne. Exigences de l'emploi: - Un bon niveau d’Italien.- Experience obligatoire de 5 ans en tant qu'IT au sein d’un Service Desk.- Connaissance d'O 365.- Connaissance de Windows 7 et Windows 10 (toute certification est appreciee).- Connaissance des composants Office Automation et capacite d’effectuer un depannage.- Connaissance des outils de communication (Cisco Jabber, Skype, Team, Webex).- Connaissance d'Active Directory. * Prime de langue tres interessante. * Une ambiance conviviale. * Tickets-Restaurant a partir du premier jour. * Assurance-Groupe a partir du premier jour.","","Raoued, Ariana","17 avril 2026","","Technicien informatique en Italien","https://www.keejob.com/offres-emploi/238754/technicien-informatique-en-italien/"
"PHARMASHOP","","https://www.keejob.com/offres-emploi/companies/30772/","CDD","El Menzah, Tunis, Tunisie Charge de donnees ERP /(junior intelligent) Entreprise Anonyme•Mahdia Developpeur (React / Node.js) Copywriter & Content Creator Developpeur Mobile (IOS) Secteur:sante / paramedical / optique Taille:Moins de 20 employes Description de l'annonce Chez Pharmashop, nous ne faisons pas que vendre des produits : nous construisons une experience e-commerce en parapharmacie, pensee pour etre fiable, claire et performante.Dans le cadre de notre developpement, nous recherchons un profil cle pour piloter et faire evoluer notre site.Votre missionVous assurez la gestion quotidienne et l’animation du site, en veillant a la qualite des contenus et a la performance commerciale, notamment a travers la mise a jour du catalogue, l’integration des produits et l’optimisation de l’experience utilisateur.Vos responsabilites• Integrer les nouveaux produits (creation complete des fiches)• Mettre a jour les prix (coherence, promotions, prix barres…)• Actualiser les fiches produits (contenu, images, descriptions)• Creer et mettre a jour les bannieres du site• Animer le site (best-sellers, nouveautes, offres commerciales)• Suivre les performances des produits et proposer des optimisations• Assurer une verification quotidienne du bon fonctionnement du siteProfil recherche• Experience en e-commerce ou gestion de site web• Rigueur et sens du detail• Sensibilite marketing et visuelle• Maitrise des outils web (CMS, Canva…)• Bonne organisation et reactiviteCe que nous offrons• Un poste strategique avec un impact direct sur les ventes• Un environnement dynamique et stimulant• De reelles perspectives d’evolution rapide Chez Pharmashop, nous ne faisons pas que vendre des produits : nous construisons une experience e-commerce en parapharmacie, pensee pour etre fiable, claire et performante.Dans le cadre de notre developpement, nous recherchons un profil cle pour piloter et faire evoluer notre site. Votre missionVous assurez la gestion quotidienne et l’animation du site, en veillant a la qualite des contenus et a la performance commerciale, notamment a travers la mise a jour du catalogue, l’integration des produits et l’optimisation de l’experience utilisateur. Vos responsabilites• Integrer les nouveaux produits (creation complete des fiches)• Mettre a jour les prix (coherence, promotions, prix barres…)• Actualiser les fiches produits (contenu, images, descriptions)• Creer et mettre a jour les bannieres du site• Animer le site (best-sellers, nouveautes, offres commerciales)• Suivre les performances des produits et proposer des optimisations• Assurer une verification quotidienne du bon fonctionnement du site Profil recherche• Experience en e-commerce ou gestion de site web• Rigueur et sens du detail• Sensibilite marketing et visuelle• Maitrise des outils web (CMS, Canva…)• Bonne organisation et reactivite Ce que nous offrons• Un poste strategique avec un impact direct sur les ventes• Un environnement dynamique et stimulant• De reelles perspectives d’evolution rapide","sante / paramedical / optique","El Menzah, Tunis","1 avril 2026","","Responsable Catalogue & Merchandising Digital","https://www.keejob.com/offres-emploi/238711/responsable-catalogue-merchandising-digital/"
"KEYSOFT","","https://www.keejob.com/offres-emploi/companies/34886/","CDI","Ariana Ville, Ariana, Tunisie Ingenieur Test et validation en CND (CIVP) PARTNER RECRUITMENT•Tunis Ingenieur & Responsable Maintenance PARTNER RECRUITMENT•Monastir Technicien Maintenance Entreprise Anonyme•Bizerte Technicien Support Materiels ROSE BLANCHE GROUP•Sousse Ingenieur Process electronique CMS PARTNER RECRUITMENT•Tunis Secteur:electronique / electricite / energie Taille:Moins de 20 employes Description de l'annonce Vous interviendrez sur des projets professionnels en videosurveillance (CCTV), controle d’acces, detection intrusion et systemes de detection incendie (SSI), avec un haut niveau d’exigence en qualite d’installation et de service client.Missions principalesInstallation et cablage courant faibleMise en place complete des systemes : tirage de cables, raccordement, pose et integration des equipements.Mise en service et parametrage : Configuration, programmation et tests des systemes (cameras IP, NVR/DVR, controleurs d’acces, centrales intrusion et incendie).Maintenance et depannage : Diagnostic de pannes, maintenance preventive et corrective, interventions SAV.Support client : Formation des utilisateurs et accompagnement technique.Suivi technique : Redaction des rapports d’intervention et mise a jour des dossiers techniques.Profil rechercheFormationBTS / ISET ou plus en securite electronique, automatisme ou reseauxExperienceMinimum 3 ans d’experience en securite electronique ou courant faibleExperience terrain obligatoire (installation + mise en service)Competences techniquesMaitrise du courant faibleInstallation et configuration :Videosurveillance IP / analogique (CCTV)Controle d’acces (badges, lecteurs, biometrie)Systemes intrusionDetection incendie (SSI)Lecture de plans, schemas electriques et synoptiquesPermis de conduire Vous interviendrez sur des projets professionnels en videosurveillance (CCTV), controle d’acces, detection intrusion et systemes de detection incendie (SSI), avec un haut niveau d’exigence en qualite d’installation et de service client. Installation et cablage courant faibleMise en place complete des systemes : tirage de cables, raccordement, pose et integration des equipements.Mise en service et parametrage : Configuration, programmation et tests des systemes (cameras IP, NVR/DVR, controleurs d’acces, centrales intrusion et incendie).Maintenance et depannage : Diagnostic de pannes, maintenance preventive et corrective, interventions SAV.Support client : Formation des utilisateurs et accompagnement technique.Suivi technique : Redaction des rapports d’intervention et mise a jour des dossiers techniques. BTS / ISET ou plus en securite electronique, automatisme ou reseaux Minimum 3 ans d’experience en securite electronique ou courant faibleExperience terrain obligatoire (installation + mise en service) Competences techniques Maitrise du courant faibleInstallation et configuration :Videosurveillance IP / analogique (CCTV)Controle d’acces (badges, lecteurs, biometrie)Systemes intrusionDetection incendie (SSI)Lecture de plans, schemas electriques et synoptiquesPermis de conduire Videosurveillance IP / analogique (CCTV)Controle d’acces (badges, lecteurs, biometrie)Systemes intrusionDetection incendie (SSI)","electronique / electricite / energie","Ariana Ville, Ariana","31 mars 2026","1000 - 1500 TND","Technicien en Securite Electronique","https://www.keejob.com/offres-emploi/238684/technicien-confirm%C3%A9-en-s%C3%A9curit%C3%A9-%C3%A9lectronique/"
