title,company,location,date,job_link,description
Thecnical Data Analyst Distribuzione Gas,Gi Group,"Reggio Emilia, Emilia-Romagna, Italy",2026-02-10,https://it.linkedin.com/jobs/view/thecnical-data-analyst-distribuzione-gas-at-gi-group-4361828903?position=11&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=NCMq1ULuVcXL3YMPZPgofQ%3D%3D,"Gi Group, prima Agenzia per il Lavoro Italiana con oltre 200 filiali sul territorio nazionale e più di 1800 professionisti nel settore delle Risorse Umane RICERCA per il Gruppo Iren, leader in Italia nel settore multiutility, un/a:
Thecnical Data Analyst Distribuzione Gas

La risorsa ricercata sarà inserita in Ireti Gas, Società del Gruppo Iren di distribuzione del gas e si occuperà principalmente delle seguenti attività:
• mantenimento e adeguamento del sistema di gestione aziendale (ISO 9001, ISO 14001, ISO 45001) in conformità agli obbiettivi aziendali ed alla normativa di riferimento per il settore distribuzione gas;
• gestione, monitoraggio e supervisione di tutti gli adempimenti ambientali relativi al processo di distribuzione del gas nel rispetto della normativa vigente e delle procedure aziendali e di Gruppo;
• supporto alle Funzioni di Linea per il presidio degli aspetti legati alla corretta gestione dei rifiuti (classificazione rifiuti, preparazione richieste per ritiro e invio a recupero/riciclo/smaltimento ecc.) nel rispetto della normativa vigente e delle procedure aziendali e di Gruppo;
• predisposizione dei dati e relativa trasmissione all'Ente ARERA (Dichiarazioni relative al servizio di distribuzione del gas naturale);
• Partecipazione attiva e supporto per l'attuazione delle delibere ARERA in collaborazione con le altre funzioni competenti a livello di Gruppo;
• Partecipazione attiva nel presidio dell'evoluzione e della diffusione della normativa tecnica per le tematiche di competenza;
• Collaborazione con le strutture nell'impostazione di progetti di sviluppo e innovazione tecnologica relativi al processo di distribuzione del gas;
• Svolgimento di sopralluoghi in campo, insieme ai responsabili di funzione, ai fini del corretto svolgimento delle attività sopra elencate.
Requisiti:
· Laurea ad indirizzo tecnico, preferibilmente in ingegneria
· Esperienza in attività riguardanti analisi di dati tecnici e studio di normativa tecnica
· Conoscenza approfondita del pacchetto Office ed in particolare di Excel
· Patente B

Costituiscono requisiti preferenziali:
· Capacità ed esperienze maturate in ruoli assimilabili alle attività da svolgere
· Conoscenza delle principali normative ARERA/CIG e delle realtà Utilities
Sede di lavoro: Reggio Emilia
Tipologia di assunzione: Contratto a tempo indeterminato, Inquadramento e retribuzione commisurati all’esperienza.
Facciamo parte di Gi Group Holding (www.gigroupholding.it) la prima multinazionale italiana del lavoro e una tra le principali realtà che offrono servizi e consulenza HR a livello globale. Il nostro Gruppo è attivo nei seguenti campi: Temporary, Permanent e Professional Staffing, Ricerca e Selezione di Profili Manageriali, Executive Search, Outsourcing, Formazione, Consulenza HR, Amministrazione HR, Employability, Transizione e Sviluppo di Carriera. Siamo presenti in più di 37 Paesi in Europa, Asia e America con un team di oltre 9.000 persone.
I valori che ci contraddistinguono: attenzione, collaborazione, passione, sostenibilità, apprendimento continuo e innovazione, responsabilità.
Consulta tutti i nostri annunci su www.gigroup.it

Gi Group S.p.A. è autorizzata ad operare dal Ministero del Lavoro e delle Politiche Sociali (Aut. Min. 26/11/2004 PROT. 1101 - SG).
L’offerta si intende rivolta ai candidati nel rispetto del D.lgs. n. 198/2006 e ss.mm.ii. e dei Decreti Legislativi n. 215 e n. 216 del 2003 sulle parità di trattamento.
I candidati sono invitati a leggere l’informativa privacy ai sensi degli artt. 13 e 14 del Reg. EU 679/2016 al seguente indirizzo www.gigroup.it/privacy-candidati"
Junior Data Analyst,InPost Italy,"Milan, Lombardy, Italy",2026-02-04,https://it.linkedin.com/jobs/view/junior-data-analyst-at-inpost-italy-4358032048?position=12&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=UxXuoMIJOJOOhMuuS1In8g%3D%3D,"A proposito di InPost
Siamo una multinazionale logistica, quotata alla borsa di Amsterdam e attualmente presente strategicamente in Polonia, Francia, Belgio, Lussemburgo, Paesi Bassi, Spagna, Portogallo, Inghilterra ed Italia.
Stiamo creando un’esperienza di shopping online smart e sostenibile attraverso una rete di 4500 locker automatizzati e di 6000 PUDOs (Pick Up and Drop Off Points).
La nostra filosofia, centrata sui bisogni dei consumatori e sul rispetto dell’ambiente in cui viviamo, ci ha portati a sviluppare una tecnologia capace di innovare la logistica dell’ultimo miglio, rendendola ecosostenibile, efficiente e conveniente.

Il profilo che stiamo cercando:
Siamo alla ricerca di un/a giovane Data Analyst da inserire nel nostro team Strategy!
Questa posizione offrirà l'opportunità di acquisire competenze in analisi dei dati e di lavorare a stretto contatto con i vari dipartimenti dell'azienda. Il/la candidato/a avrà l'opportunità di imparare ad utilizzare strumenti e linguaggi come Excel, SQL, PowerBI, Databricks, PySpark, n8n e di contribuire al miglioramento dei processi aziendali.

Di cosa ti occuperai:
Supporterai i diversi dipartimenti aziendali nello sviluppo di strategie basate sui dati.
Elaborerai analisi quantitative per monitorare KPI economici e di processo, fornendo insight chiave al business.
Ti occuperai dell'estrazione e della manipolazione di grandi volumi di dati per identificare trend e opportunità di miglioramento.
Contribuirai alla creazione e manutenzione di dashboard per il monitoraggio delle performance aziendali.

Skills e Requisiti:
Laurea in statistica, economia, ingegneria gestionale, materie informatiche o discipline affini
Forti capacità analitiche e di problem-solving
Conoscenza di base di Excel
Capacità di lavorare in team e di comunicare efficacemente

Perchè scegliere InPost
Borsa di studio di 850€
Piattaforma formativa ad accesso illimitato
Contesto multinazionale
Ambiente lavorativo flessibile, creativo, vibrante
Contribuire alla creazione di una logistica responsabile ed ecosostenibile
Entrare a far parte di un team di persone appassionate, preparate e motivate

Il presente annuncio è rivolto ad entrambi i sessi, ai sensi delle leggi 903/77 e 125/91, e a persone di tutte le età e tutte le nazionalità, ai sensi dei decreti legislativi 215/03 e 216/03
Invitiamo a prendere visione della nostra liberatoria privacy sul nostro sito www.inpost.it, alla sezione Privacy Policy - Colloqui e selezione."
Data Analyst (0 Experience Required),Peroptyx,"Umbria, Italy",2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-0-experience-required-at-peroptyx-4370349878?position=13&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=TI%2F1d%2BSIZep8FHFOZ6s2jQ%3D%3D,Description not available
Data Analyst (0 Experience Required),Peroptyx,Greater Turin Metropolitan Area,2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-0-experience-required-at-peroptyx-4370347948?position=14&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=KMLFeZzARsdwhOB8vW5QeQ%3D%3D,Description not available
Data Analyst (0 Experience Required),Peroptyx,"Lombardy, Italy",2026-02-13,https://it.linkedin.com/jobs/view/data-analyst-0-experience-required-at-peroptyx-4370352877?position=15&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=V4sy2T4BQ64%2FvriVu3oS%2BQ%3D%3D,Description not available
Data Analyst (0 Experience Required),Peroptyx,Greater Rome Metropolitan Area,2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-0-experience-required-at-peroptyx-4370352836?position=16&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=U62qJ9H9I4PWyCPEqgUX0g%3D%3D,Description not available
CRM Data Analyst,Cesar S.p.A.,"Città Sant’Angelo, Abruzzi, Italy",2026-02-10,https://it.linkedin.com/jobs/view/crm-data-analyst-at-cesar-s-p-a-4355402104?position=17&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=d6RC7lyjcJ7mJlkrdPHt5w%3D%3D,Description not available
DATA ANALYST AND REPORTING,Aeroporti di Roma,"Rome, Latium, Italy",2026-01-27,https://it.linkedin.com/jobs/view/data-analyst-and-reporting-at-aeroporti-di-roma-4350301206?position=18&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=k%2B3Om4q75Gl5gYsdAC0ODg%3D%3D,Description not available
Business Intelligence / Data Analyst – Microsoft Power Platform,LHH,Italy,2026-02-10,https://it.linkedin.com/jobs/view/business-intelligence-data-analyst-%E2%80%93-microsoft-power-platform-at-lhh-4370992848?position=19&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=OeVtvqw%2B8%2FRp%2FxQK6As96g%3D%3D,
Junior Business Intelligence specialist,Bosch Rexroth Italia,"Cernusco sul Naviglio, Lombardy, Italy",2026-02-06,https://it.linkedin.com/jobs/view/junior-business-intelligence-specialist-at-bosch-rexroth-italia-4360587751?position=20&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=zk2nrH0KkRll41UnthmDsA%3D%3D,Description not available
